종가,52주최고,고점대비%,신고가갱신,OBV위치%,5일수익%,20일수익%,거래량배수,20일선위,60일선위,데이터일수,A_신고가임박,B_OBV신고가,C_연속양봉,티커,종목명,시총(억),거래대금(억)
322000.0,604000.0,-46.69,False,67.4,4.55,11.61,0.58,True,True,323,False,False,False,006260,LS,99684.0,177.9734975
260500.0,437500.0,-40.46,False,39.6,-2.62,-4.58,0.48,False,False,323,False,False,False,051910,LG화학,184246.01523,176.5597075
6370.0,11760.0,-45.83,False,99.2,19.07,22.5,0.82,True,True,323,False,False,False,024840,KBI메탈,2794.8873981,175.99937025
20800.0,45000.0,-53.78,False,97.7,-8.97,0.24,0.91,False,True,323,False,False,True,234340,헥토파이낸셜,2940.823088,168.3561755
13640.0,25700.0,-46.93,False,98.2,17.89,59.72,0.54,True,True,323,False,False,False,072950,빛샘전자,1113.675963,171.58450425
184100.0,283000.0,-34.95,False,69.2,11.1,-20.82,0.75,False,False,323,False,False,True,483650,달바글로벌,22872.32079,165.290904
259000.0,318500.0,-18.68,False,98.3,9.75,5.5,0.6,True,True,323,False,False,False,131290,티에스이,28538.48682,174.897495
198500.0,292500.0,-32.14,False,80.7,11.27,28.73,0.78,True,True,323,False,False,False,095340,ISC,41927.780724,173.5738665
53500.0,257500.0,-79.22,False,52.1,-16.14,-29.42,1.44,False,False,323,False,False,False,298380,에이비엘바이오,30233.23002,165.422599
48800.0,54100.0,-9.8,False,94.1,10.41,49.24,1.1,True,True,323,True,False,False,064290,인텍플러스,6342.734431,164.9818435
334500.0,494500.0,-32.36,False,0.0,-7.34,-5.37,0.5,False,False,323,False,False,False,009540,HD한국조선해양,239213.13208,163.1503125
153900.0,375500.0,-59.01,False,11.7,6.43,-8.17,1.65,True,False,323,False,False,False,310210,보로노이,28360.24524,156.269536
23300.0,57300.0,-59.34,False,97.9,20.1,1.08,0.81,True,True,323,False,False,False,347700,스피어,12140.345751,151.10980625
99100.0,109200.0,-9.25,False,24.4,-0.6,1.64,0.43,False,True,323,True,False,False,021240,코웨이,70696.658574,162.805315
119300.0,282000.0,-57.7,False,13.3,-3.01,-11.1,0.57,False,False,323,False,False,False,064350,현대로템,131407.320772,147.0370995
69500.0,129000.0,-46.12,False,75.3,8.26,7.59,0.53,True,True,323,False,False,False,058470,리노공업,53195.8713,159.673116
9290.0,15960.0,-41.79,False,98.6,-7.38,57.46,0.22,True,True,323,False,False,False,004310,현대약품,3068.8,145.34162825
50100.0,87700.0,-42.87,False,95.4,-0.2,-5.83,0.3,False,False,323,False,False,False,475150,SK이터닉스,17101.636008,144.6918815
28500.0,45000.0,-36.67,False,98.0,6.94,4.59,0.73,True,True,323,False,False,False,098460,고영,19233.588066,145.13267075
